Concentration,Species
23.45,Rhinella arenarum
68.23,Gastrophryne carolinensis
71.86,Hyla chrysoscelis
101.42,Bufo bufo
103.56,Epidalea calamita
105.7,Anaxyrus boreas
106,Pelodytes ibericus
121.37,Lithobates pipiens
128.17,Lithobates clamitans
230,Bufo gargarizans
230.71,Lithobates sphenocephalus
300.11,Lithobates chiricahuensis
350.19,Xenopus laevis
360.2,Xenopus tropicalis
379.11,Ambystoma jeffersonianum
380.15,Duttaphrynus melanostictus
950.25,Pelophylax perezi
989.11,Eurycea bislineata
4567.13,Lithobates catesbeianus 
Median,230
