Concentration,Species,,,,
3610.000001,Fejervarya limnocharis ,,,,2100.000001
2780.000001,Lithobates catesbeianus,,,,2489.999999
2100.000001,Rana hexadactyla,,,,2780.000001
28379.99999,Rana luteiventris,,,,3610.000001
19859.99999,Bufo metanostictus,,,,4199.999996
4199.999996,Duttaphrynus melanostictus,,,,12800.00001
23019.99998,Microhyla ornata,,,,19000
2489.999999,Rhinella arenarum,,,,19859.99999
19000,Rana maculata,,,,23019.99998
12800.00001,Xenopus laevis ,,,,28379.99999
,,,,median,8500.000003
